Frequent itemsets:
0.010425020048115477 : frozenset({'18'})
0.03718925421010425 : frozenset({'181'})
0.030673616680032077 : frozenset({'182'})
0.07999198075380914 : frozenset({'184'})
0.022052927024859663 : frozenset({'186'})
0.01623897353648757 : frozenset({'187'})
0.0136327185244587 : frozenset({'188'})
0.012028869286287089 : frozenset({'189'})
0.023957497995188454 : frozenset({'19'})
0.03468323977546111 : frozenset({'193'})
0.03297914995990377 : frozenset({'194'})
0.018544506816359264 : frozenset({'195'})
0.055533279871692064 : frozenset({'197'})
0.04200080192461909 : frozenset({'198'})
0.066158781074579 : frozenset({'199'})
0.024157979149959905 : frozenset({'2'})
0.0272654370489174 : frozenset({'202'})
0.027165196471531677 : frozenset({'204'})
0.08279871692060946 : frozenset({'205'})
0.08089414595028067 : frozenset({'206'})
0.023857257417802726 : frozenset({'207'})
0.05362870890136327 : frozenset({'208'})
0.020850040096230954 : frozenset({'209'})
0.0202485966319166 : frozenset({'211'})
0.020048115477145148 : frozenset({'213'})
0.011928628708901363 : frozenset({'214'})
0.018243785084202085 : frozenset({'215'})
0.017241379310344827 : frozenset({'216'})
0.03989574979951885 : frozenset({'217'})
0.16760224538893345 : frozenset({'218'})
0.061046511627906974 : frozenset({'22'})
0.014635124298315958 : frozenset({'221'})
0.013532477947072975 : frozenset({'223'})
0.026764234161988774 : frozenset({'224'})
0.023155573376102648 : frozenset({'225'})
0.015437048917401764 : frozenset({'227'})
0.05322774659182037 : frozenset({'228'})
0.013231756214915798 : frozenset({'23'})
0.07578187650360867 : frozenset({'230'})
0.01343223736968725 : frozenset({'231'})
0.011627906976744186 : frozenset({'232'})
0.03197674418604651 : frozenset({'235'})
0.077485966319166 : frozenset({'237'})
0.021150761828388133 : frozenset({'24'})
0.07337610264635125 : frozenset({'240'})
0.01794306335204491 : frozenset({'241'})
0.012329591018444266 : frozenset({'242'})
0.05282678428227747 : frozenset({'243'})
0.011728147554129912 : frozenset({'245'})
0.012530072173215718 : frozenset({'246'})
0.022052927024859663 : frozenset({'247'})
0.024558941459502808 : frozenset({'25'})
0.01744186046511628 : frozenset({'250'})
0.0233560545308741 : frozenset({'253'})
0.014935846030473135 : frozenset({'257'})
0.011928628708901363 : frozenset({'258'})
0.024659182036888532 : frozenset({'259'})
0.03558540497193264 : frozenset({'26'})
0.05362870890136327 : frozenset({'260'})
0.03558540497193264 : frozenset({'264'})
0.022253408179631114 : frozenset({'266'})
0.04831595829991981 : frozenset({'267'})
0.025761828388131517 : frozenset({'269'})
0.010224538893344026 : frozenset({'27'})
0.026663993584603047 : frozenset({'271'})
0.02054931836407378 : frozenset({'273'})
0.029370489174017644 : frozenset({'275'})
0.03959502806736167 : frozenset({'276'})
0.07177225340817964 : frozenset({'277'})
0.028067361668003207 : frozenset({'278'})
0.017842822774659182 : frozenset({'279'})
0.042301523656776266 : frozenset({'28'})
0.11126704089815558 : frozenset({'280'})
0.05844025661587811 : frozenset({'281'})
0.02425821972734563 : frozenset({'282'})
0.11407377706495589 : frozenset({'284'})
0.030773857257417804 : frozenset({'286'})
0.03688853247794707 : frozenset({'29'})
0.031475541299117886 : frozenset({'291'})
0.05483159582999198 : frozenset({'295'})
0.025461106655974338 : frozenset({'296'})
0.05222534081796311 : frozenset({'297'})
0.0101242983159583 : frozenset({'298'})
0.014635124298315958 : frozenset({'299'})
0.03979550922213312 : frozenset({'3'})
0.017742582197273458 : frozenset({'300'})
0.03197674418604651 : frozenset({'301'})
0.015938251804330394 : frozenset({'304'})
0.036387329591018445 : frozenset({'305'})
0.0101242983159583 : frozenset({'306'})
0.017040898155573376 : frozenset({'307'})
0.02425821972734563 : frozenset({'308'})
0.06355252606255012 : frozenset({'309'})
0.030673616680032077 : frozenset({'311'})
0.016840417000801924 : frozenset({'312'})
0.02185244587008821 : frozenset({'315'})
0.026964715316760226 : frozenset({'316'})
0.03468323977546111 : frozenset({'317'})
0.01222935044105854 : frozenset({'318'})
0.059843624699278265 : frozenset({'32'})
0.047213311948676825 : frozenset({'320'})
0.018945469125902167 : frozenset({'321'})
0.03558540497193264 : frozenset({'322'})
0.04460705693664795 : frozenset({'323'})
0.05052125100240577 : frozenset({'327'})
0.013131515637530072 : frozenset({'328'})
0.019246190858059342 : frozenset({'329'})
0.06726142742582197 : frozenset({'33'})
0.012830793905372895 : frozenset({'330'})
0.024358460304731357 : frozenset({'333'})
0.015838011226944667 : frozenset({'334'})
0.050320769847634325 : frozenset({'335'})
0.023656776263031275 : frozenset({'336'})
0.011627906976744186 : frozenset({'337'})
0.025761828388131517 : frozenset({'339'})
0.015036086607858861 : frozenset({'34'})
0.04019647153167602 : frozenset({'340'})
0.04971932638331997 : frozenset({'344'})
0.025761828388131517 : frozenset({'346'})
0.03528468323977546 : frozenset({'347'})
0.04941860465116279 : frozenset({'348'})
0.04390537289494788 : frozenset({'349'})
0.02054931836407378 : frozenset({'35'})
0.06545709703287891 : frozenset({'350'})
0.06345228548516439 : frozenset({'351'})
0.03889334402566159 : frozenset({'352'})
0.026062550120288693 : frozenset({'353'})
0.1059542902967121 : frozenset({'355'})
0.02074979951884523 : frozenset({'356'})
0.0233560545308741 : frozenset({'358'})
0.02305533279871692 : frozenset({'359'})
0.01653969526864475 : frozenset({'36'})
0.027165196471531677 : frozenset({'362'})
0.09252205292702485 : frozenset({'363'})
0.02165196471531676 : frozenset({'365'})
0.02596230954290297 : frozenset({'367'})
0.014635124298315958 : frozenset({'368'})
0.17622293504410586 : frozenset({'369'})
0.013833199679230152 : frozenset({'370'})
0.013732959101844426 : frozenset({'373'})
0.05072173215717723 : frozenset({'374'})
0.019947874899759424 : frozenset({'375'})
0.01794306335204491 : frozenset({'376'})
0.058941459502806735 : frozenset({'378'})
0.024157979149959905 : frozenset({'379'})
0.021150761828388133 : frozenset({'38'})
0.013131515637530072 : frozenset({'380'})
0.08329991980753809 : frozenset({'382'})
0.021351242983159584 : frozenset({'384'})
0.0202485966319166 : frozenset({'386'})
0.03688853247794707 : frozenset({'388'})
0.01643945469125902 : frozenset({'389'})
0.06435445068163592 : frozenset({'39'})
0.04310344827586207 : frozenset({'391'})
0.03929430633520449 : frozenset({'393'})
0.022955092221331196 : frozenset({'395'})
0.013732959101844426 : frozenset({'396'})
0.013331996792301523 : frozenset({'397'})
0.01483560545308741 : frozenset({'398'})
0.022955092221331196 : frozenset({'4'})
0.04991980753809142 : frozenset({'40'})
0.023857257417802726 : frozenset({'401'})
0.06796311146752206 : frozenset({'402'})
0.012830793905372895 : frozenset({'403'})
0.03247794707297514 : frozenset({'404'})
0.03608660785886127 : frozenset({'406'})
0.023456295108259823 : frozenset({'408'})
0.027866880513231756 : frozenset({'409'})
0.04731355252606255 : frozenset({'412'})
0.01643945469125902 : frozenset({'413'})
0.04761427425821973 : frozenset({'414'})
0.01814354450681636 : frozenset({'415'})
0.023757016840417002 : frozenset({'416'})
0.02425821972734563 : frozenset({'418'})
0.01553728949478749 : frozenset({'42'})
0.12800721732157178 : frozenset({'420'})
0.01764234161988773 : frozenset({'422'})
0.029069767441860465 : frozenset({'423'})
0.03438251804330393 : frozenset({'424'})
0.023456295108259823 : frozenset({'425'})
0.051222935044105855 : frozenset({'428'})
0.020048115477145148 : frozenset({'429'})
0.019947874899759424 : frozenset({'430'})
0.029370489174017644 : frozenset({'431'})
0.012429831595829992 : frozenset({'432'})
0.023255813953488372 : frozenset({'433'})
0.010525260625501203 : frozenset({'437'})
0.014735364875701684 : frozenset({'438'})
0.13552526062550121 : frozenset({'439'})
0.07317562149157979 : frozenset({'44'})
0.036587810745789894 : frozenset({'441'})
0.010725741780272654 : frozenset({'442'})
0.024859663191659984 : frozenset({'444'})
0.022453889334402566 : frozenset({'448'})
0.014534883720930232 : frozenset({'449'})
0.036988773055332796 : frozenset({'450'})
0.06886527666399359 : frozenset({'451'})
0.014534883720930232 : frozenset({'453'})
0.024659182036888532 : frozenset({'454'})
0.01794306335204491 : frozenset({'457'})
0.0233560545308741 : frozenset({'459'})
0.04210104250200481 : frozenset({'46'})
0.08119486768243785 : frozenset({'461'})
0.01794306335204491 : frozenset({'462'})
0.01343223736968725 : frozenset({'465'})
0.010024057738572574 : frozenset({'466'})
0.06776263031275061 : frozenset({'468'})
0.036587810745789894 : frozenset({'469'})
0.05112269446672013 : frozenset({'47'})
0.02495990376904571 : frozenset({'470'})
0.07217321571772253 : frozenset({'471'})
0.030272654370489174 : frozenset({'472'})
0.0576383319967923 : frozenset({'473'})
0.03297914995990377 : frozenset({'475'})
0.0545308740978348 : frozenset({'478'})
0.06776263031275061 : frozenset({'481'})
0.014033680834001604 : frozenset({'483'})
0.020850040096230954 : frozenset({'485'})
0.021251002405773857 : frozenset({'487'})
0.04119887730553328 : frozenset({'488'})
0.048115477145148355 : frozenset({'49'})
0.08440256615878107 : frozenset({'490'})
0.013933440256615878 : frozenset({'491'})
0.025260625501202887 : frozenset({'492'})
0.017141138732959103 : frozenset({'493'})
0.08219727345629511 : frozenset({'495'})
0.04851643945469126 : frozenset({'497'})
0.029971932638331998 : frozenset({'5'})
0.014635124298315958 : frozenset({'50'})
0.012830793905372895 : frozenset({'504'})
0.03287890938251804 : frozenset({'505'})
0.03277866880513232 : frozenset({'506'})
0.02846832397754611 : frozenset({'508'})
0.019747393744987973 : frozenset({'509'})
0.036387329591018445 : frozenset({'510'})
0.1148757016840417 : frozenset({'511'})
0.03498396150761828 : frozenset({'512'})
0.03869286287089014 : frozenset({'514'})
0.023155573376102648 : frozenset({'515'})
0.0233560545308741 : frozenset({'516'})
0.023957497995188454 : frozenset({'517'})
0.029771451483560547 : frozenset({'518'})
0.01343223736968725 : frozenset({'519'})
0.06355252606255012 : frozenset({'52'})
0.016940657578187652 : frozenset({'521'})
0.025360866078588614 : frozenset({'522'})
0.06395348837209303 : frozenset({'523'})
0.034482758620689655 : frozenset({'524'})
0.033279871692060946 : frozenset({'526'})
0.05503207698476343 : frozenset({'527'})
0.03518444266238974 : frozenset({'528'})
0.012830793905372895 : frozenset({'529'})
0.01744186046511628 : frozenset({'53'})
0.1650962309542903 : frozenset({'530'})
0.025060144346431435 : frozenset({'531'})
0.013532477947072975 : frozenset({'534'})
0.022052927024859663 : frozenset({'535'})
0.010625501202886928 : frozenset({'537'})
0.01082598235765838 : frozenset({'538'})
0.06996792301523656 : frozenset({'539'})
0.034182036888532476 : frozenset({'54'})
0.013231756214915798 : frozenset({'540'})
0.06585805934242181 : frozenset({'541'})
0.0735765838011227 : frozenset({'542'})
0.014234161988773055 : frozenset({'545'})
0.011327185244587009 : frozenset({'547'})
0.05823977546110665 : frozenset({'549'})
0.06455493183640738 : frozenset({'55'})
0.032377706495589416 : frozenset({'551'})
0.038291900561347236 : frozenset({'554'})
0.036387329591018445 : frozenset({'555'})
0.013231756214915798 : frozenset({'559'})
0.07287489975942261 : frozenset({'56'})
0.1020449077786688 : frozenset({'562'})
0.013031275060144346 : frozenset({'563'})
0.01954691259021652 : frozenset({'564'})
0.0167401764234162 : frozenset({'566'})
0.039494787489975945 : frozenset({'568'})
0.01744186046511628 : frozenset({'569'})
0.0303728949478749 : frozenset({'570'})
0.021251002405773857 : frozenset({'572'})
0.025260625501202887 : frozenset({'573'})
0.03518444266238974 : frozenset({'574'})
0.03959502806736167 : frozenset({'575'})
0.017842822774659182 : frozenset({'576'})
0.0568364073777065 : frozenset({'577'})
0.03628708901363272 : frozenset({'578'})
0.04079791499599038 : frozenset({'579'})
0.047514033680834004 : frozenset({'58'})
0.04390537289494788 : frozenset({'580'})
0.026463512429831595 : frozenset({'581'})
0.042502004811547714 : frozenset({'582'})
0.03227746591820369 : frozenset({'584'})
0.0404971932638332 : frozenset({'586'})
0.021551724137931036 : frozenset({'589'})
0.03608660785886127 : frozenset({'59'})
0.010525260625501203 : frozenset({'590'})
0.01082598235765838 : frozenset({'591'})
0.023957497995188454 : frozenset({'592'})
0.013231756214915798 : frozenset({'593'})
0.05012028869286287 : frozenset({'594'})
0.017742582197273458 : frozenset({'595'})
0.01553728949478749 : frozenset({'596'})
0.08269847634322373 : frozenset({'598'})
0.053127506014434646 : frozenset({'599'})
0.03217722534081796 : frozenset({'6'})
0.018043303929430633 : frozenset({'60'})
0.039394546912590214 : frozenset({'601'})
0.014234161988773055 : frozenset({'602'})
0.0373897353648757 : frozenset({'603'})
0.038291900561347236 : frozenset({'606'})
0.05633520449077787 : frozenset({'607'})
0.02185244587008821 : frozenset({'609'})
0.010926222935044106 : frozenset({'610'})
0.029270248596631916 : frozenset({'612'})
0.021551724137931036 : frozenset({'613'})
0.08971531676022454 : frozenset({'615'})
0.045008019246190856 : frozenset({'618'})
0.046210906174819565 : frozenset({'619'})
0.010425020048115477 : frozenset({'620'})
0.03217722534081796 : frozenset({'621'})
0.02195268644747394 : frozenset({'623'})
0.024157979149959905 : frozenset({'624'})
0.0272654370489174 : frozenset({'625'})
0.02095028067361668 : frozenset({'626'})
0.011427425821972734 : frozenset({'628'})
0.03398155573376103 : frozenset({'629'})
0.037590216519647154 : frozenset({'630'})
0.011427425821972734 : frozenset({'631'})
0.06686046511627906 : frozenset({'632'})
0.03879310344827586 : frozenset({'633'})
0.03368083400160385 : frozenset({'634'})
0.0408981555733761 : frozenset({'635'})
0.03598636728147554 : frozenset({'639'})
0.034783480352846834 : frozenset({'640'})
0.04139935846030473 : frozenset({'641'})
0.035485164394546916 : frozenset({'642'})
0.010024057738572574 : frozenset({'643'})
0.01082598235765838 : frozenset({'647'})
0.011026463512429831 : frozenset({'648'})
0.022253408179631114 : frozenset({'65'})
0.034182036888532476 : frozenset({'650'})
0.030773857257417804 : frozenset({'652'})
0.015838011226944667 : frozenset({'653'})
0.05503207698476343 : frozenset({'654'})
0.024558941459502808 : frozenset({'656'})
0.04149959903769046 : frozenset({'658'})
0.05262630312750601 : frozenset({'659'})
0.028869286287089013 : frozenset({'660'})
0.014434643143544507 : frozenset({'661'})
0.07107056936647956 : frozenset({'662'})
0.014334402566158781 : frozenset({'663'})
0.08460304731355253 : frozenset({'664'})
0.0303728949478749 : frozenset({'666'})
0.012429831595829992 : frozenset({'667'})
0.012730553327987169 : frozenset({'67'})
0.02616279069767442 : frozenset({'672'})
0.03107457898957498 : frozenset({'674'})
0.04991980753809142 : frozenset({'675'})
0.06194867682437851 : frozenset({'676'})
0.0514234161988773 : frozenset({'677'})
0.03558540497193264 : frozenset({'679'})
0.024358460304731357 : frozenset({'681'})
0.09993985565356857 : frozenset({'683'})
0.07778668805132317 : frozenset({'685'})
0.01413392141138733 : frozenset({'686'})
0.04190056134723336 : frozenset({'687'})
0.04180032076984763 : frozenset({'688'})
0.013532477947072975 : frozenset({'689'})
0.020649558941459503 : frozenset({'69'})
0.03107457898957498 : frozenset({'690'})
0.023255813953488372 : frozenset({'691'})
0.01152766639935846 : frozenset({'692'})
0.12720529270248596 : frozenset({'693'})
0.05954290296712109 : frozenset({'695'})
0.01413392141138733 : frozenset({'698'})
0.019847634322373697 : frozenset({'7'})
0.05392943063352045 : frozenset({'70'})
0.015236567762630313 : frozenset({'700'})
0.03628708901363272 : frozenset({'702'})
0.024057738572574178 : frozenset({'706'})
0.05914194065757819 : frozenset({'707'})
0.03017241379310345 : frozenset({'708'})
0.023155573376102648 : frozenset({'709'})
0.06645950280673617 : frozenset({'71'})
0.03809141940657578 : frozenset({'711'})
0.024659182036888532 : frozenset({'712'})
0.027465918203688853 : frozenset({'713'})
0.02165196471531676 : frozenset({'716'})
0.013231756214915798 : frozenset({'719'})
0.0747794707297514 : frozenset({'72'})
0.02095028067361668 : frozenset({'720'})
0.10254611066559743 : frozenset({'721'})
0.12359663191659984 : frozenset({'723'})
0.022654370489174017 : frozenset({'724'})
0.025360866078588614 : frozenset({'727'})
0.06515637530072173 : frozenset({'73'})
0.016940657578187652 : frozenset({'730'})
0.025260625501202887 : frozenset({'732'})
0.02586206896551724 : frozenset({'733'})
0.019446672012830794 : frozenset({'734'})
0.02636327185244587 : frozenset({'736'})
0.04941860465116279 : frozenset({'737'})
0.04881716118684844 : frozenset({'739'})
0.07487971130713712 : frozenset({'74'})
0.02896952686447474 : frozenset({'741'})
0.01152766639935846 : frozenset({'742'})
0.02756615878107458 : frozenset({'743'})
0.036988773055332796 : frozenset({'745'})
0.061046511627906974 : frozenset({'747'})
0.012129109863672815 : frozenset({'75'})
0.026764234161988774 : frozenset({'750'})
0.026463512429831595 : frozenset({'751'})
0.010525260625501203 : frozenset({'752'})
0.06686046511627906 : frozenset({'753'})
0.034783480352846834 : frozenset({'754'})
0.014534883720930232 : frozenset({'758'})
0.05753809141940658 : frozenset({'759'})
0.0514234161988773 : frozenset({'76'})
0.010224538893344026 : frozenset({'760'})
0.029570970328789095 : frozenset({'761'})
0.019145950280673618 : frozenset({'763'})
0.051222935044105855 : frozenset({'764'})
0.012129109863672815 : frozenset({'765'})
0.013833199679230152 : frozenset({'766'})
0.12349639133921411 : frozenset({'767'})
0.014635124298315958 : frozenset({'768'})
0.03458299919807538 : frozenset({'770'})
0.03247794707297514 : frozenset({'772'})
0.018344025661587812 : frozenset({'774'})
0.018344025661587812 : frozenset({'775'})
0.11257016840417 : frozenset({'776'})
0.02756615878107458 : frozenset({'778'})
0.058039294306335205 : frozenset({'779'})
0.015036086607858861 : frozenset({'78'})
0.03157578187650361 : frozenset({'780'})
0.015236567762630313 : frozenset({'781'})
0.05673616680032077 : frozenset({'783'})
0.014735364875701684 : frozenset({'784'})
0.03839214113873296 : frozenset({'785'})
0.05012028869286287 : frozenset({'786'})
0.01623897353648757 : frozenset({'788'})
0.054931836407377706 : frozenset({'789'})
0.03809141940657578 : frozenset({'79'})
0.06766238973536487 : frozenset({'790'})
0.02215316760224539 : frozenset({'791'})
0.0545308740978348 : frozenset({'793'})
0.030974338412189256 : frozenset({'794'})
0.027465918203688853 : frozenset({'795'})
0.09913793103448276 : frozenset({'796'})
0.0778869286287089 : frozenset({'798'})
0.062048917401764235 : frozenset({'799'})
0.012530072173215718 : frozenset({'800'})
0.06475541299117883 : frozenset({'801'})
0.013732959101844426 : frozenset({'802'})
0.03368083400160385 : frozenset({'804'})
0.032377706495589416 : frozenset({'805'})
0.03608660785886127 : frozenset({'806'})
0.015838011226944667 : frozenset({'808'})
0.014334402566158781 : frozenset({'81'})
0.055834001603849236 : frozenset({'810'})
0.018043303929430633 : frozenset({'811'})
0.011828388131515637 : frozenset({'812'})
0.041599839615076184 : frozenset({'813'})
0.02185244587008821 : frozenset({'814'})
0.032377706495589416 : frozenset({'815'})
0.016639935846030473 : frozenset({'816'})
0.02566158781074579 : frozenset({'818'})
0.015336808340016038 : frozenset({'819'})
0.03488372093023256 : frozenset({'820'})
0.03889334402566159 : frozenset({'821'})
0.010024057738572574 : frozenset({'823'})
0.022353648757016842 : frozenset({'825'})
0.033881315156375304 : frozenset({'826'})
0.04520850040096231 : frozenset({'827'})
0.02305533279871692 : frozenset({'829'})
0.03869286287089014 : frozenset({'83'})
0.14665196471531677 : frozenset({'830'})
0.02185244587008821 : frozenset({'831'})
0.02445870088211708 : frozenset({'832'})
0.018544506816359264 : frozenset({'833'})
0.04831595829991981 : frozenset({'834'})
0.014935846030473135 : frozenset({'835'})
0.014735364875701684 : frozenset({'839'})
0.012530072173215718 : frozenset({'841'})
0.05162389735364876 : frozenset({'842'})
0.03398155573376103 : frozenset({'844'})
0.04871692060946271 : frozenset({'845'})
0.02285485164394547 : frozenset({'846'})
0.01814354450681636 : frozenset({'847'})
0.01764234161988773 : frozenset({'848'})
0.013833199679230152 : frozenset({'849'})
0.012630312750601443 : frozenset({'852'})
0.022052927024859663 : frozenset({'854'})
0.059242181234963914 : frozenset({'855'})
0.03628708901363272 : frozenset({'856'})
0.037590216519647154 : frozenset({'858'})
0.014735364875701684 : frozenset({'859'})
0.035485164394546916 : frozenset({'86'})
0.014534883720930232 : frozenset({'860'})
0.018043303929430633 : frozenset({'861'})
0.010525260625501203 : frozenset({'862'})
0.08370088211708099 : frozenset({'863'})
0.021752205292702487 : frozenset({'865'})
0.018544506816359264 : frozenset({'866'})
0.030974338412189256 : frozenset({'868'})
0.017141138732959103 : frozenset({'869'})
0.013331996792301523 : frozenset({'87'})
0.041599839615076184 : frozenset({'872'})
0.03869286287089014 : frozenset({'875'})
0.03959502806736167 : frozenset({'877'})
0.01222935044105854 : frozenset({'878'})
0.029370489174017644 : frozenset({'879'})
0.020148356054530876 : frozenset({'880'})
0.012429831595829992 : frozenset({'882'})
0.021752205292702487 : frozenset({'883'})
0.09222133119486768 : frozenset({'884'})
0.025260625501202887 : frozenset({'885'})
0.05392943063352045 : frozenset({'886'})
0.06094627105052125 : frozenset({'887'})
0.042502004811547714 : frozenset({'888'})
0.0708700882117081 : frozenset({'889'})
0.011728147554129912 : frozenset({'89'})
0.044707297514033684 : frozenset({'891'})
0.0167401764234162 : frozenset({'893'})
0.048115477145148355 : frozenset({'894'})
0.019847634322373697 : frozenset({'895'})
0.1020449077786688 : frozenset({'896'})
0.023155573376102648 : frozenset({'897'})
0.05854049719326383 : frozenset({'898'})
0.07898957497995189 : frozenset({'9'})
0.010625501202886928 : frozenset({'90'})
0.026563753007217323 : frozenset({'900'})
0.03107457898957498 : frozenset({'901'})
0.020649558941459503 : frozenset({'902'})
0.023957497995188454 : frozenset({'904'})
0.022253408179631114 : frozenset({'905'})
0.018644747393744988 : frozenset({'906'})
0.012630312750601443 : frozenset({'907'})
0.014033680834001604 : frozenset({'91'})
0.011828388131515637 : frozenset({'910'})
0.029771451483560547 : frozenset({'911'})
0.02054931836407378 : frozenset({'912'})
0.022554129911788293 : frozenset({'913'})
0.036688051323175624 : frozenset({'914'})
0.08791098636728148 : frozenset({'915'})
0.026663993584603047 : frozenset({'916'})
0.07598235765838011 : frozenset({'919'})
0.06134723336006415 : frozenset({'920'})
0.012329591018444266 : frozenset({'921'})
0.05904170008019246 : frozenset({'922'})
0.029370489174017644 : frozenset({'923'})
0.01954691259021652 : frozenset({'924'})
0.020348837209302327 : frozenset({'926'})
0.017040898155573376 : frozenset({'927'})
0.02586206896551724 : frozenset({'929'})
0.014534883720930232 : frozenset({'931'})
0.04330392943063352 : frozenset({'933'})
0.03648757016840417 : frozenset({'934'})
0.016940657578187652 : frozenset({'935'})
0.012429831595829992 : frozenset({'936'})
0.09993985565356857 : frozenset({'938'})
0.021251002405773857 : frozenset({'939'})
0.041599839615076184 : frozenset({'94'})
0.01904570970328789 : frozenset({'940'})
0.016940657578187652 : frozenset({'941'})
0.02586206896551724 : frozenset({'942'})
0.014234161988773055 : frozenset({'943'})
0.011828388131515637 : frozenset({'944'})
0.058640737770649556 : frozenset({'945'})
0.07016840417000803 : frozenset({'947'})
0.057337610264635124 : frozenset({'948'})
0.04641138732959102 : frozenset({'949'})
0.015437048917401764 : frozenset({'95'})
0.05202485966319166 : frozenset({'950'})
0.0404971932638332 : frozenset({'951'})
0.04851643945469126 : frozenset({'953'})
0.02586206896551724 : frozenset({'954'})
0.14043704891740177 : frozenset({'957'})
0.018043303929430633 : frozenset({'959'})
0.011327185244587009 : frozenset({'96'})
0.027465918203688853 : frozenset({'961'})
0.014534883720930232 : frozenset({'962'})
0.0101242983159583 : frozenset({'963'})
0.022654370489174017 : frozenset({'964'})
0.02145148356054531 : frozenset({'965'})
0.07798716920609462 : frozenset({'967'})
0.04210104250200481 : frozenset({'968'})
0.01904570970328789 : frozenset({'969'})
0.019446672012830794 : frozenset({'97'})
0.014234161988773055 : frozenset({'971'})
0.02586206896551724 : frozenset({'973'})
0.025461106655974338 : frozenset({'976'})
0.04380513231756215 : frozenset({'98'})
0.011327185244587009 : frozenset({'981'})
0.04731355252606255 : frozenset({'982'})
0.054230152365677624 : frozenset({'983'})
0.04821571772253408 : frozenset({'985'})
0.03518444266238974 : frozenset({'989'})
0.066158781074579 : frozenset({'990'})
0.03608660785886127 : frozenset({'992'})
0.033279871692060946 : frozenset({'993'})
0.011828388131515637 : frozenset({'998'})
0.03528468323977546 : frozenset({'999'})
0.01603849238171612 : frozenset({'218', '101'})
0.010725741780272654 : frozenset({'316', '101'})
0.01082598235765838 : frozenset({'420', '101'})
0.015036086607858861 : frozenset({'101', '527'})
0.01152766639935846 : frozenset({'562', '101'})
0.0101242983159583 : frozenset({'101', '570'})
0.010725741780272654 : frozenset({'845', '101'})
0.011026463512429831 : frozenset({'959', '101'})
0.013532477947072975 : frozenset({'530', '105'})
0.011728147554129912 : frozenset({'693', '105'})
0.0101242983159583 : frozenset({'369', '109'})
0.0101242983159583 : frozenset({'721', '11'})
0.010224538893344026 : frozenset({'915', '11'})
0.011026463512429831 : frozenset({'957', '11'})
0.010425020048115477 : frozenset({'116', '111'})
0.010324779470729751 : frozenset({'111', '162'})
0.011327185244587009 : frozenset({'218', '111'})
0.014434643143544507 : frozenset({'284', '111'})
0.024057738572574178 : frozenset({'369', '111'})
0.011226944667201283 : frozenset({'420', '111'})
0.0101242983159583 : frozenset({'439', '111'})
0.013833199679230152 : frozenset({'111', '44'})
0.01343223736968725 : frozenset({'495', '111'})
0.013131515637530072 : frozenset({'541', '111'})
0.012129109863672815 : frozenset({'55', '111'})
0.014735364875701684 : frozenset({'683', '111'})
0.010525260625501203 : frozenset({'727', '111'})
0.014334402566158781 : frozenset({'798', '111'})
0.015336808340016038 : frozenset({'799', '111'})
0.01152766639935846 : frozenset({'830', '111'})
0.015437048917401764 : frozenset({'896', '111'})
